Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
Dbx 560A,0,8,8,1195.68,0,8,4,0,0,NoTurnover
Decimator Design MC-DMON-QUAD (b-stock),0,1,1,236,0,1,0.5,0,0,NoTurnover
Decimator MD-HX (FBA),0,36,36,8496,0,36,18,0,0,NoTurnover
Delta Electronics FFB0412SHN,0,2,2,33,0,2,1,0,0,NoTurnover
Denon DJ PRIME 4,0,1,1,1346,0,1,0.5,0,0,NoTurnover
Denon Pro DN-200BR (B-Stock),0,2,2,135,0,2,1,0,0,NoTurnover
Denon Pro DN-500BD MKII (B-Stock),0,1,1,252,0,1,0.5,0,0,NoTurnover
Comtek Communications Corp. AP-12VAC,0,1,1,18,0,1,0.5,0,0,NoTurnover
Deva Broadcast GPS-ANT,0,3,3,52.5,0,3,1.5,0,0,NoTurnover
EAW RSX129 b-stock,0,1,1,922.14,0,1,0.5,0,0,NoTurnover
ERI 100A-2F-HW,0,1,1,0,1,0,0,0,,
Electro-Voice 320 (B-Stock),0,1,1,27.11,0,1,0.5,0,0,NoTurnover
Electro-Voice US-690,0,1,1,0,1,0,0,0,,
Eventide BD600W+,0,2,2,6214.44,0,2,1,0,0,NoTurnover
Eventide BD960,0,1,1,1396.5,0,1,0.5,0,0,NoTurnover
Fluid Audio DS5 (Pair),0,3,3,95.55,0,3,1.5,0,0,NoTurnover
Focal FOPRO-ALPH50,0,6,6,972,0,6,3,0,0,NoTurnover
Focal FOPRO-ALPH80,0,6,6,1782,0,6,3,0,0,NoTurnover
Focal FOPRO-CLEARPROMG,0,1,1,894,0,1,0.5,0,0,NoTurnover
Focal FOPRO-LISPRO (b-stock),0,1,1,205,0,1,0.5,0,0,NoTurnover
Continental 816R2-C USED,0,1,1,10000,0,1,0.5,0,0,NoTurnover
Comrex Stand-alone Rapid Charger,0,5,5,0,5,0,0,0,,
BW Broadcast PACK-2UMFOAM-3PC-BLK-R1,0,25,25,206.25,0,25,12.5,0,0,NoTurnover
Belden M57936B,0,1,1,0,1,0,0,0,,
BW Broadcast PACK-2UMULTIBOX-W-R1,0,25,25,93.75,0,25,12.5,0,0,NoTurnover
BW Broadcast SPARE-PA-1KW-V3,0,1,1,604.8,0,1,0.5,0,0,NoTurnover
BW Broadcast SUB-PCB-DE2400-PSUINT-V1-R1,0,1,1,114.4,0,1,0.5,0,0,NoTurnover
BW Broadcast SUB-PCB-TX600-BBAR-V2,0,1,1,60,0,1,0.5,0,0,NoTurnover
BW Broadcast TR50v3,0,1,1,2160,0,1,0.5,0,0,NoTurnover
Barix AG Exstreamer 500 Power Supply,0,2,2,58,0,2,1,0,0,NoTurnover
Behringer FBQ2496 (B-Stock),0,2,2,272,0,2,1,0,0,NoTurnover
Behringer MONITOR1 (B-Stock),0,1,1,14.99,0,1,0.5,0,0,NoTurnover
Behringer X-DANTE (B-Stock),0,1,1,377.37,0,1,0.5,0,0,NoTurnover
Behringer XR12 (b-stock),0,1,1,279.99,0,1,0.5,0,0,NoTurnover
Behringer Xenyx 1002 (B-Stock),0,1,1,59.45,0,1,0.5,0,0,NoTurnover
Belden 1411B,0,150,150,15,0,150,75,0,0,NoTurnover
Bird 25-T-MN,0,1,1,96.75,0,1,0.5,0,0,NoTurnover
Cisco WS-C3560CX-12TC-S,0,2,2,332.05,0,2,1,0,0,NoTurnover
Bird 5A-2409-1,0,5,5,0,5,0,0,0,,
Bird BPME3-VM,0,2,2,6825,0,2,1,0,0,NoTurnover
Burk Technology PLUS-X 300,0,1,1,716,0,1,0.5,0,0,NoTurnover
Burk Technology RMA 300,0,1,1,64,0,1,0.5,0,0,NoTurnover
CAD Audio U37SE-C (FBA),0,12,12,564,0,12,6,0,0,NoTurnover
CAD Audio ZOE - (FBA),0,24,24,1128,0,24,12,0,0,NoTurnover
CTP Systems dBbox3,0,40,40,15382.34,0,40,20,0,0,NoTurnover
CTP Systems dBbox3 (Demo),0,2,2,721.86,0,2,1,0,0,NoTurnover
Calrad 10-95-6,0,60,60,210,0,60,30,0,0,NoTurnover
Calrad 40-1061-HS-2 (B-Stock),0,1,1,22.45,0,1,0.5,0,0,NoTurnover
Cambium C000082M002A,0,1,1,2412,0,1,0.5,0,0,NoTurnover
Cambium N000082L126A,0,1,1,804,0,1,0.5,0,0,NoTurnover
MXL MXL-V69 MEDT (FBA),0,34,34,5011.2,0,34,17,0,0,NoTurnover
MXL MXL-WS-001,0,6,6,30,0,6,3,0,0,NoTurnover
Mackie Big Knob Studio (B-Stock),0,1,1,156.05,0,1,0.5,0,0,NoTurnover
Sennheiser IE 40 Pro Black (B-Stock),0,1,1,64.8,0,1,0.5,0,0,NoTurnover
SWR FM1/2-PD-3QW,0,1,1,0,0,1,0.5,0,0,NoTurnover
Sabrent CB-FTDI,0,2,2,23.98,0,2,1,0,0,NoTurnover
"Scarlett 2i2 Studio, Pop Filter, DS7100B, (2) 1/4'' cables",0,1,1,0,0,1,0.5,0,0,NoTurnover
"Scarlett 2i2, TH-05, (2) 25' Mic Cables",0,2,2,0,0,2,1,0,0,NoTurnover
"Scarlett 4i4, TH-02, (4) 3' Mic Cables",0,1,1,0,0,1,0.5,0,0,NoTurnover
"Scarlett Solo, TH-02, XLR, Pop",0,1,1,0,0,1,0.5,0,0,NoTurnover
"Scarlett Solo, XLR",0,2,2,0,0,2,1,0,0,NoTurnover
Sennheiser ASA1/NT (B-Stock),0,1,1,411.07,0,1,0.5,0,0,NoTurnover
Sennheiser E 600 SERIES DRUM CASE,0,1,1,755.33,0,1,0.5,0,0,NoTurnover
Sennheiser HD 300 PRO (B-Stock),0,1,1,122.4,0,1,0.5,0,0,NoTurnover
Sennheiser HD 300 PROtect (B-Stock),0,1,1,149.04,0,1,0.5,0,0,NoTurnover
Sennheiser HMD 26-II-X3K1,0,2,2,693,0,2,1,0,0,NoTurnover
Sennheiser IE 500 PRO Clear,0,2,2,862.2,0,2,1,0,0,NoTurnover
"SCMS Portable TV 7""",0,12,12,779.52,0,12,6,0,0,NoTurnover
Sennheiser MD 46 (FBA),0,5,5,720,0,5,2.5,0,0,NoTurnover
Sennheiser MK 4 (B-Stock),0,1,1,191.37,0,1,0.5,0,0,NoTurnover
Sennheiser MKE 200 (FBA),0,10,10,720,0,10,5,0,0,NoTurnover
Sennheiser XSW 1-835 DUAL-A (B-Stock),0,1,1,387.99,0,1,0.5,0,0,NoTurnover
Sennheiser XSW-D INSTRUMENT BASE SET,0,1,1,216,0,1,0.5,0,0,NoTurnover
Sennheiser XSW-D LAVALIER SET,0,1,1,252,0,1,0.5,0,0,NoTurnover
Sennheiser XSW-D PRESENTATION BASE SET,0,1,1,216,0,1,0.5,0,0,NoTurnover
Sennheiser e 602 II,0,12,12,1360.8,0,12,6,0,0,NoTurnover
Sennheiser e 825-S (FBA),0,42,42,2419.2,0,42,21,0,0,NoTurnover
Sennheiser e 835 (FBA),0,42,42,3024,0,42,21,0,0,NoTurnover
Sennheiser e 835-S (B-Stock),0,1,1,64.8,0,1,0.5,0,0,NoTurnover
Sennheiser e 845 (B-Stock),0,1,1,64.8,0,1,0.5,0,0,NoTurnover
SIAE Mic SIAE-E01419,0,1,1,0,0,1,0.5,0,0,NoTurnover
Roland Systems Group VR-1HD,0,2,2,1837.5,0,2,1,0,0,NoTurnover
Sennheiser ew 100 G4-ME2-A b-stock,0,1,1,387.99,0,1,0.5,0,0,NoTurnover
Rode VideoMic ME-L,0,2,2,110,0,2,1,0,0,NoTurnover
Rode NT1-A (Copy),0,2,2,0,0,2,1,0,0,NoTurnover
Rode NTG-2 (B-Stock),0,1,1,171,0,1,0.5,0,0,NoTurnover
Rode NTG1 (B-Stock),0,1,1,154.8,0,1,0.5,0,0,NoTurnover
Rode NTG4 (B-Stock),0,1,1,230.4,0,1,0.5,0,0,NoTurnover
Rode NTG4+ (B-Stock),0,1,1,249.05,0,1,0.5,0,0,NoTurnover
Rode PSM1 (B-Stock),0,2,2,49.66,0,2,1,0,0,NoTurnover
Rode Podcaster (B-Stock),0,5,5,785,0,5,2.5,0,0,NoTurnover
Rode SC17,0,40,40,480,0,40,20,0,0,NoTurnover
Rode SC18,0,40,40,360,0,40,20,0,0,NoTurnover
Rode SC6-L,0,3,3,156,0,3,1.5,0,0,NoTurnover
Rode SM3-R b-stock,0,1,1,30.55,0,1,0.5,0,0,NoTurnover
Rode SM4-R (B-Stock),0,1,1,25.97,0,1,0.5,0,0,NoTurnover
Rode WS6,0,197,197,12592.24,0,197,98.5,0,0,NoTurnover
Roland Systems Group VC-1-SH,0,3,3,1245.84,0,3,1.5,0,0,NoTurnover
Rode Wireless GO White,0,2,2,278,0,2,1,0,0,NoTurnover
Rode Wireless Go II (B-Stock),0,2,2,360.4,0,2,1,0,0,NoTurnover
Rode i-XLR,0,83,83,17427,0,83,41.5,0,0,NoTurnover
Rode iXY-L,0,2,2,278,0,2,1,0,0,NoTurnover
"Rodecaster Pro, ZDM-1 Podcast Mic Pack, SanDisk 32GB SD Card",0,1,1,0,0,1,0.5,0,0,NoTurnover
"Rodecaster, SanDisk 32GB SD Card",0,1,1,0,1,0,0,0,,
Roland Systems Group V-1HD+,0,3,3,2701.14,0,3,1.5,0,0,NoTurnover
Roland Systems Group V-1SDI,0,1,1,1139.25,0,1,0.5,0,0,NoTurnover
Roland Systems Group V-8HD,0,2,2,3013.5,0,2,1,0,0,NoTurnover
Roland Systems Group VC-1-DL,0,1,1,613.73,0,1,0.5,0,0,NoTurnover
Roland Systems Group VC-1-HS,0,3,3,1323,0,3,1.5,0,0,NoTurnover
Roland Systems Group VC-1-SC,0,1,1,753.38,0,1,0.5,0,0,NoTurnover
Sennheiser e 935,0,1,1,144,0,1,0.5,0,0,NoTurnover
Site Pro 1 GHK38,0,5,5,48.25,0,5,2.5,0,0,NoTurnover
Marantz PMD-300CP (B-Stock),0,1,1,99,0,1,0.5,0,0,NoTurnover
Zoom H5 (FBA),0,8,8,1567.92,0,8,4,0,0,NoTurnover
Zoom BCQ-2N,0,3,3,89.97,0,3,1.5,0,0,NoTurnover
Zoom BTA-2,0,30,30,1004.7,0,30,15,0,0,NoTurnover
Zoom CBF-1LP,0,3,3,53.97,0,3,1.5,0,0,NoTurnover
Zoom CBF-1SP,0,3,3,71.97,0,3,1.5,0,0,NoTurnover
Zoom CBG-5N,0,3,3,161.97,0,3,1.5,0,0,NoTurnover
Zoom CBH-3,0,3,3,58.47,0,3,1.5,0,0,NoTurnover
Zoom CBL-20 (B-Stock),0,1,1,56.69,0,1,0.5,0,0,NoTurnover
Zoom F1-LP (FBA),0,15,15,1784.85,0,15,7.5,0,0,NoTurnover
Zoom FS01,0,2,2,35.98,0,2,1,0,0,NoTurnover
Zoom G1X FOUR (b-stock),0,1,1,81.62,0,1,0.5,0,0,NoTurnover
Zoom H4NPro All Black (B-Stock),0,3,3,607.4,0,3,1.5,0,0,NoTurnover
Zoom H5 (B-Stock),0,1,1,176.39,0,1,0.5,0,0,NoTurnover
Zoom H6 All Black (Used),0,2,2,417.92,0,2,1,0,0,NoTurnover
Zoom Am7 (B-Stock),0,2,2,125.98,0,2,1,0,0,NoTurnover
Zoom H8 (FBA),0,34,34,9859.66,0,34,17,0,0,NoTurnover
Zoom MS-50G (B-Stock),0,1,1,73.43,0,1,0.5,0,0,NoTurnover
Zoom MSM-1,0,3,3,71.97,0,3,1.5,0,0,NoTurnover
Zoom PCF-6,0,2,2,107.98,0,2,1,0,0,NoTurnover
Zoom Q8 (FBA),0,14,14,4087.86,0,14,7,0,0,NoTurnover
Zoom RKL-12,0,8,8,559.92,0,8,4,0,0,NoTurnover
Zoom SGH-6,0,6,6,467.94,0,6,3,0,0,NoTurnover
Zoom SGV-6,0,24,24,1439.76,0,24,12,0,0,NoTurnover
Zoom TXF-8,0,3,3,101.97,0,3,1.5,0,0,NoTurnover
Zoom UAC-2,0,3,3,502.47,0,3,1.5,0,0,NoTurnover
Zoom UAC-8,0,2,2,803.98,0,2,1,0,0,NoTurnover
Zoom XYH-5,0,3,3,143.97,0,3,1.5,0,0,NoTurnover
Zoom Am7 (FBA),0,80,80,5599.2,0,80,40,0,0,NoTurnover
Zoom APH-4nPro b-stock,0,1,1,25.59,0,1,0.5,0,0,NoTurnover
Sonifex CM AESX3,0,2,2,384,0,2,1,0,0,NoTurnover
"VideoMic Me-L, TH-02",0,7,7,0,0,7,3.5,0,0,NoTurnover
Soundcraft Notepad-8FX,0,6,6,583.62,0,6,3,0,0,NoTurnover
Staco Energy Products SV2000RT120,0,1,1,726,0,1,0.5,0,0,NoTurnover
Stormin Protection Optelator,0,16,16,4697.12,0,16,8,0,0,NoTurnover
StreamEye BOOMARM1,0,1200,1200,14484,0,1200,600,0,0,NoTurnover
Tascam 202MKVII (B-Stock),0,1,1,343.49,0,1,0.5,0,0,NoTurnover
Tascam DR-05X b-stock,0,1,1,76.08,0,1,0.5,0,0,NoTurnover
Tascam DR-10SG (B-Stock),0,1,1,113.18,0,1,0.5,0,0,NoTurnover
Tascam IXZ,0,8,8,306,0,8,4,0,0,NoTurnover
Tascam TH-02-B (B-Stock),0,8,8,188.44,0,8,4,0,0,NoTurnover
Tascam TH-05 (B-Stock),0,1,1,14.81,0,1,0.5,0,0,NoTurnover
Tieline Technology TLR6200-16W,0,1,1,11162,0,1,0.5,0,0,NoTurnover
Transtector B93-00-2740,0,1,1,0,1,0,0,0,,
Warm Audio WA-47jr (FBA),0,8,8,1752,0,8,4,0,0,NoTurnover
Zoom APH-2n (FBA),0,33,33,911.62,0,33,16.5,0,0,NoTurnover
Wheatstone AirAura X1 DEMO,0,1,1,3371.63,0,1,0.5,0,0,NoTurnover
Wheatstone IP88-3A - USED,0,2,2,3656,0,2,1,0,0,NoTurnover
Wheatstone M-2 (Used),0,5,5,7293.75,0,5,2.5,0,0,NoTurnover
Wheatstone M2 Dual Mic processor,0,1,1,770,0,1,0.5,0,0,NoTurnover
Whirlwind IMPAD10,0,2,2,26.22,0,2,1,0,0,NoTurnover
Whirlwind IMPAD20,0,2,2,26.22,0,2,1,0,0,NoTurnover
Whirlwind MST2XM06US,0,3,3,76.26,0,3,1.5,0,0,NoTurnover
Whirlwind PS6,0,1,1,14.99,0,1,0.5,0,0,NoTurnover
Wide Orbit Inc. V-60008,0,1,1,0,1,0,0,0,,
Yellowtec YT3350,0,10,10,675,0,10,5,0,0,NoTurnover
Yellowtec YT9502,0,1,1,24.75,0,1,0.5,0,0,NoTurnover
Yellowtec YT9902,0,6,6,531,0,6,3,0,0,NoTurnover
Rode NT1-A (B-Stock),0,6,6,1098,0,6,3,0,0,NoTurnover
Rode NT-USB MINI,0,14,14,828,0,14,7,0,0,NoTurnover
Rode M5-MP (B-Stock),0,2,2,243.1,0,2,1,0,0,NoTurnover
Novation Circuit Tracks,0,10,10,2849.9,0,10,5,0,0,NoTurnover
Nord AMS-GB49,0,1,1,94.5,0,1,0.5,0,0,NoTurnover
Nord AMS-GBPM,0,2,2,189,0,2,1,0,0,NoTurnover
Nord AMS-NELECTRO6D-61,0,2,2,2856.44,0,2,1,0,0,NoTurnover
Nord AMS-NPIANO-MONITOR-V2 (B-Stock),0,1,1,506,0,1,0.5,0,0,NoTurnover
Nord AMS-NPIANO4-88,0,1,1,2007,0,1,0.5,0,0,NoTurnover
Nord AMS-NSCL,0,5,5,2019.6,0,5,2.5,0,0,NoTurnover
Nord AMS-NSCL (B-Stock),0,2,2,306,0,2,1,0,0,NoTurnover
Nord AMS-NSP,0,3,3,121.5,0,3,1.5,0,0,NoTurnover
Nord AMS-NSTAGE3-COMPACT (B-Stock),0,2,2,7560,0,2,1,0,0,NoTurnover
North Bayou F100A,0,2,2,0,2,0,0,0,,
Novation 61SL MkIII,0,3,3,1496.22,0,3,1.5,0,0,NoTurnover
Novation Bass Station II Bag,0,8,8,833.56,0,8,4,0,0,NoTurnover
Novation Impulse 49 (b-stock),0,1,1,213.74,0,1,0.5,0,0,NoTurnover
Nicom NT2000  b-stock,0,1,1,5391,0,1,0.5,0,0,NoTurnover
Novation Launchkey Mini [MK3] (FBA),0,120,120,9404.4,0,120,60,0,0,NoTurnover
Novation Launchpad  b-stock,0,1,1,106.87,0,1,0.5,0,0,NoTurnover
Novation Launchpad Pro [MK3],0,16,16,8977.32,0,16,8,0,0,NoTurnover
Novation Launchpad Pro [MK3] (FBA),0,35,35,8478.58,0,35,17.5,0,0,NoTurnover
Novation Launchpad Sleeve,0,4,4,56.96,0,4,2,0,0,NoTurnover
OC White 14295-B,0,2,2,180.7,0,2,1,0,0,NoTurnover
On-Stage Stands MBS5000 (B-Stock),0,2,2,54.06,0,2,1,0,0,NoTurnover
On-Stage Stands MS7201B,0,12,12,149.64,0,12,6,0,0,NoTurnover
On-Stage Stands MY410,0,23,23,348.91,0,23,11.5,0,0,NoTurnover
On-Stage Stands MY430,0,24,24,329.28,0,24,12,0,0,NoTurnover
On-Stage Stands SSP7950,0,6,6,484.74,0,6,3,0,0,NoTurnover
"P4, (2) ZDM-1-PMP, Cloth",0,1,1,0,0,1,0.5,0,0,NoTurnover
Nord AMS-GB3P,0,3,3,283.5,0,3,1.5,0,0,NoTurnover
Neumann U 87AI,0,1,1,2245.5,0,1,0.5,0,0,NoTurnover
Rode Interview GO,0,1,1,19,0,1,0.5,0,0,NoTurnover
Neumann EA 4 BK (FBA),0,10,10,1008,0,10,5,0,0,NoTurnover
Marantz Pod Pack 1,0,12,12,420,0,12,6,0,0,NoTurnover
Marantz Pro MPM-1000 (b-stock),0,1,1,49,0,1,0.5,0,0,NoTurnover
Mark P9A72GN-U  USED,0,1,1,550,0,1,0.5,0,0,NoTurnover
Midas Consoles MR12 (B-Stock),0,1,1,282.15,0,1,0.5,0,0,NoTurnover
Middle Atlantic MA-EB4-CP6,0,1,1,62.01,0,1,0.5,0,0,NoTurnover
Middle Atlantic MA-WRK-44SA-32,0,1,1,890.1,0,1,0.5,0,0,NoTurnover
Mogan CABLE-BG-1AK,0,2,2,40,0,2,1,0,0,NoTurnover
Mogan CABLE-BG-1SE,0,2,2,40,0,2,1,0,0,NoTurnover
Mogan CABLE-BG-2AT,0,2,2,40,0,2,1,0,0,NoTurnover
Mogan Standard EAO-BG-SH,0,2,2,120,0,2,1,0,0,NoTurnover
MonoPrice 35064,0,124,124,2039.28,0,124,62,0,0,NoTurnover
Nemal RG213/U,0,100,100,58,0,100,50,0,0,NoTurnover
Neumann KM 183-MT,0,2,2,1222.2,0,2,1,0,0,NoTurnover
Neumann TLM 193,0,1,1,1080,0,1,0.5,0,0,NoTurnover
Neumann KM 183-MT-STEREOSET,0,1,1,1152,0,1,0.5,0,0,NoTurnover
Neumann KM 183-NI,0,2,2,1222.2,0,2,1,0,0,NoTurnover
Neumann KM 184-MT-STEREOSET,0,2,2,2160,0,2,1,0,0,NoTurnover
Neumann KM 185-MT,0,1,1,611.1,0,1,0.5,0,0,NoTurnover
Neumann KM 185-NI,0,1,1,611.1,0,1,0.5,0,0,NoTurnover
Neumann KMS 104,0,1,1,498.6,0,1,0.5,0,0,NoTurnover
Neumann KMS 104 BK,0,1,1,498.6,0,1,0.5,0,0,NoTurnover
Neumann TLM 103,0,2,2,1596.6,0,2,1,0,0,NoTurnover
Neumann TLM 103-MT-STEREO,0,3,3,5305.5,0,3,1.5,0,0,NoTurnover
Neumann TLM 103-STEREO,0,1,1,1768.5,0,1,0.5,0,0,NoTurnover
Neumann TLM 103-Set,0,5,5,10105.2,0,5,2.5,0,0,NoTurnover
Neumann TLM 103-Set (B-Stock),0,1,1,875.16,0,1,0.5,0,0,NoTurnover
"PSA1, Pop Filter",0,1,1,0,0,1,0.5,0,0,NoTurnover
Pelican IM3075-FOAM - IM3075-FOAM,0,3,3,365.49,0,3,1.5,0,0,NoTurnover
Phihong PSAC30U-050L6,0,2,2,27.26,0,2,1,0,0,NoTurnover
RODE SM4-R (FBA),0,29,29,916.5,0,29,14.5,0,0,NoTurnover
RELOOP RP-2000-USB-MK2,0,1,1,671.12,0,1,0.5,0,0,NoTurnover
RELOOP RP-4000-MK2,0,4,4,909.24,0,4,2,0,0,NoTurnover
RELOOP RP-7000-MK2,0,3,3,1296,0,3,1.5,0,0,NoTurnover
RODE Ai1 (B-Stock),0,4,4,342,0,4,2,0,0,NoTurnover
RODE Blimp Extension,0,2,2,94,0,2,1,0,0,NoTurnover
RODE Lavalier (FBA),0,11,11,1980,0,11,5.5,0,0,NoTurnover
RODE Micro Boompole,0,3,3,111.72,0,3,1.5,0,0,NoTurnover
RODE NT-USB (Used),0,1,1,84.5,0,1,0.5,0,0,NoTurnover
RODE NT-USB MINI (Used),0,1,1,37.26,0,1,0.5,0,0,NoTurnover
RODE PG2-R (FBA),0,8,8,-1648.32,0,8,4,0,0,NoTurnover
RODE PSA1 (Used),0,1,1,39.71,0,1,0.5,0,0,NoTurnover
RODE Reporter,0,6,6,528,0,6,3,0,0,NoTurnover
RODE SM6,0,10,10,362,0,10,5,0,0,NoTurnover
PodMic (Copy),0,1,1,0,0,1,0.5,0,0,NoTurnover
RODE SMR (FBA),0,11,11,276,0,11,5.5,0,0,NoTurnover
RODE VideoMic ME (B-Stock),0,3,3,114.06,0,3,1.5,0,0,NoTurnover
RODE VideoMic ME-L (B-Stock),0,4,4,198,0,4,2,0,0,NoTurnover
RP5G4-NA (Pair) & Accessories,0,1,1,0,0,1,0.5,0,0,NoTurnover
RTW 20900 b-stock,0,1,1,2777.25,0,1,0.5,0,0,NoTurnover
Rapco SSAV-BLC-6,0,200,200,824,0,200,100,0,0,NoTurnover
Rapco SSAV-MIC-50,0,10,10,112.4,0,10,5,0,0,NoTurnover
Rental Fee,0,2,2,0,0,2,1,0,0,NoTurnover
Rode Ai1,0,1,1,95,0,1,0.5,0,0,NoTurnover
Rode Boompole Pro b-stock,0,1,1,163,0,1,0.5,0,0,NoTurnover
Rode Complete Studio Kit (b-stock),0,7,7,1416.8,0,7,3.5,0,0,NoTurnover
Rode DS1 (B-Stock),0,1,1,12.24,0,1,0.5,0,0,NoTurnover
RELOOP RP-2000-MK2,0,3,3,545.55,0,3,1.5,0,0,NoTurnover
RELOOP NEON (B-Stock),0,1,1,97.42,0,1,0.5,0,0,NoTurnover
RELOOP MIXON-4 (B-Stock),0,1,1,519.58,0,1,0.5,0,0,NoTurnover
"Procaster, PSA1, PSM1",0,1,1,0,0,1,0.5,0,0,NoTurnover
"Podcaster, PSM1, Mic Arm",0,1,1,0,0,1,0.5,0,0,NoTurnover
PreSonus Eris E4.5 (FBA),0,14,14,1680,0,14,7,0,0,NoTurnover
PreSonus HP60 (b-stock),0,1,1,227,0,1,0.5,0,0,NoTurnover
PreSonus Temblor T8 (b-stock),0,1,1,198,0,1,0.5,0,0,NoTurnover
Presonus ATOM SQ,0,3,3,486,0,3,1.5,0,0,NoTurnover
Presonus AudioBox Studio Ultimate Bundle - 25th Anni. Edi. (FBA),0,54,54,12096,0,54,27,0,0,NoTurnover
Presonus AudioBox Studio Ultimate Bundle - 25th Anniversary Edition,0,4,4,896,0,4,2,0,0,NoTurnover
Presonus Audiobox USB 96 (FBA),0,45,45,3375,0,45,22.5,0,0,NoTurnover
Presonus DM-7 (FBA),0,15,15,2910,0,15,7.5,0,0,NoTurnover
Presonus EM-Mount,0,6,6,252,0,6,3,0,0,NoTurnover
Presonus Eris E4.5 BT (FBA),0,8,8,1192,0,8,4,0,0,NoTurnover
Presonus Eris E7 XT,0,12,12,1656,0,12,6,0,0,NoTurnover
Presonus Eris Sub 8 (FBA),0,21,21,3278,0,21,10.5,0,0,NoTurnover
Presonus HP60,0,16,16,3859,0,16,8,0,0,NoTurnover
Presonus HP60 (FBA),0,9,9,2043,0,9,4.5,0,0,NoTurnover
Presonus MicroStation BT,0,100,100,9000,0,100,50,0,0,NoTurnover
Presonus Monitor Station 2,0,12,12,2916,0,12,6,0,0,NoTurnover
Presonus PD-70 (FBA),0,150,150,12450,0,150,75,0,0,NoTurnover
Presonus R80,0,2,2,602,0,2,1,0,0,NoTurnover
Presonus Revelator (FBA),0,184,184,23000,0,184,92,0,0,NoTurnover
Presonus Sceptre S8,0,2,2,798,0,2,1,0,0,NoTurnover
Presonus Studio Channel (B-Stock),0,1,1,195.3,0,1,0.5,0,0,NoTurnover
Presonus StudioLive 32S Series III,0,1,1,2250,0,1,0.5,0,0,NoTurnover
Presonus StudioLive 32SC Series III,0,1,1,1650,0,1,0.5,0,0,NoTurnover
Presonus TubePre V2 (FBA),0,91,91,10000,0,91,45.5,0,0,NoTurnover
Allen & Heath AH-LEDLAMP-X (FBA),0,1,1,75.29,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-DX168,0,1,1,977.6,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-AR2-2412-BLK,0,2,2,3836.44,0,2,1,0,0,NoTurnover
Sennheiser IE 400 PRO Smoky Black b-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Sennheiser HD 600,18,0,18,5271.98,0,18,18,0,0,NoTurnover
Sennheiser HD600 (B-Stock),1,0,1,223.84,0,1,1,0,0,NoTurnover
Sennheiser HMD 27,2,0,2,-540,0,2,2,0,0,NoTurnover
Sennheiser HMD 300 XQ-2,10,0,10,2808,0,10,10,0,0,NoTurnover
Sennheiser HMD281-XQ,1,0,1,172.25,0,1,1,0,0,NoTurnover
Sennheiser HME 27,2,0,2,718.2,0,2,2,0,0,NoTurnover
Sennheiser IE 40 Pro Black,5,0,5,360,0,5,5,0,0,NoTurnover
Sennheiser IE 40 Pro Black (FBA),6,-2,4,-144,0,4,5,0,0,NoTurnover
Sennheiser IE 40 Pro Clear,9,0,9,720,0,9,9,0,0,NoTurnover
Sennheiser IE 40 Pro Clear (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Sennheiser IE 400 PRO Clear,1,0,1,252,0,1,1,0,0,NoTurnover
Sennheiser IE 400 PRO Smoky Black,11,0,11,1934.18,0,11,11,0,0,NoTurnover
Sennheiser IE 500 PRO Smoky Black,5,0,5,1147.5,0,5,5,0,0,NoTurnover
Sennheiser HD 300 PROtect,9,12,21,3477.6,0,21,15,0,0,NoTurnover
Sennheiser IE 60,4,1,5,684.6,0,5,4.5,0,0,NoTurnover
Sennheiser L 2015,2,0,2,319.26,0,2,2,0,0,NoTurnover
Sennheiser MD 46,11,0,11,1559.25,0,11,11,0,0,NoTurnover
Sennheiser MEMORY MIC,40,0,40,3284.1,0,40,40,0,0,NoTurnover
Sennheiser MEMORY MIC (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Sennheiser MK 8,3,8,11,5197.5,0,11,7,0,0,NoTurnover
Sennheiser MKE 200,12,-4,8,672,0,8,10,0,0,NoTurnover
Sennheiser MKE2-P-K,3,0,3,2907.9,0,3,3,0,0,NoTurnover
Sennheiser NT 1-1-US  B-stock,0,1,1,56.7,0,1,0.5,0,0,NoTurnover
Sennheiser SK 300 G4-RC-AW+,2,0,2,756,0,2,2,0,0,NoTurnover
Sennheiser SKP 100 G4-A,2,0,2,432,0,2,2,0,0,NoTurnover
Sennheiser SKP 500 G4-AW+,8,0,8,2880,0,8,8,0,0,NoTurnover
Sennheiser HD 300 PROtect (FBA),12,-1,11,-165.6,0,11,11.5,0,0,NoTurnover
Sennheiser HD 300 PRO (FBA),8,0,8,0,0,8,8,0,0,NoTurnover
Sennheiser XSW 1-835-A,1,0,1,266.72,0,1,1,0,0,NoTurnover
Samson Technologies C-que8,6,0,6,0,0,6,6,0,0,NoTurnover
SCMS Repair,110,0,110,772,0,110,110,0,0,NoTurnover
"SCMS STRAP 2"" X .025",630,0,630,0,0,630,630,0,0,NoTurnover
SCMS Service,1,0,1,390,0,1,1,0,0,NoTurnover
